Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Hungerbox,Series A,4500000.0,Bangalore,Hungerbox is a full stack b2b f&b technology company delivering food solutions for the corporates in india.,B2b,2018,,Nan
Biryani by kilo,Seed,1000000.0,Noida,Bbk delivers both authentic taste of hyderabadi and lucknowi biryani prepared in individual earthen handis with the freshest ingredients.,Food and Beverages,2018,,Nan
Wholesome habits (eat anytime),Seed,500000.0,Mumbai,Wholesome habits (eat anytime) is a healthy snacks company.,Food and Beverages,2018,,Nan
Gobumpr,Seed,600000.0,Mylapore,Car service and bike service mobile app,Automotive and rentals,2018,,Nan
Fixpocket,Seed,250000.0,Ahmedabad,Fixpocket is a internet-based startup.,It,2018,,Nan
Edureka!,Series A,2000000.0,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",Edtech,2018,,Nan
Hashtag loyalty private limited,Seed,0.0,Mumbai,Hashtag loyalty is a customer engagement and marketing automation tool for local businesses.,Marketing and automation,2018,,Nan
Wow express,Series A,4500000.0,Mumbai,"Wow, as customers react to his studiously taught, trained, polite and courteous nature.",It,2018,,Nan
Zunroof,Seed,242360.0,Gurgaon,Zunroof is a rooftop focused solar startup.,Solar solution,2018,,Nan
Eggoz,Seed,175200.0,Indore,Eggoz is a full-stack layer poultry business operator & service provider .,Food and Beverages,2018,,Nan
Sqrrl fintech,Seed,1000000.0,Gurgaon,Personal finance,Fintech,2018,,Nan
Galaxycard,Seed,0.0,Noida,Galaxycard is a mobile based instant credit card.,Fintech,2018,,Nan
Indiqube,Series A,15000000.0,Bangalore,Indiqube is a provider of co-working spaces based in bengaluru.,Real estate,2018,,Nan
Egk foods,Seed,292000.0,Mumbai,A food processing enterprise registered with startup india .,Food and Beverages,2018,,Nan
Nirogstreet,Seed,300000.0,Gurgaon,Nirogstreet is an ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Healthcare,2018,,Nan
Pixr8,Seed,50000.0,Ghaziabad,Pixr8 is a global media platform dedicated to start-ups and business organisations for promoting entrepreneurship work.,Digital media,2018,,Nan
Nivesh.com,Seed,438000.0,Noida,Nivesh.com is a mass market mutual funds investment platform.,Fintech,2018,,Nan
Theranosis life sciences,Seed,0.0,Hyderabad,A fully functioning cell culture facility and molecular biology setup.,Healthcare,2018,,Nan
Poshmiles online solutions private limited,Seed,0.0,Bangalore,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,Hospitality,2018,,Nan
Reculta,Seed,0.0,Noida,A campus recruitment solution provider.,Edtech,2018,,Nan
Orbo.ai,Seed,0.0,Mumbai,Orbo is a computer vision and deep facial technology company.,Digital media,2018,,Nan
Inntot technologies,Seed,0.0,Kochi,"Inntot technologies, is a technology driven company.",Technology,2018,,Nan
Zoctr health,Seed,0.0,Powai,Zoctr health network is a first-of-its kind pan-india home & telehealth company,Healthcare,2018,,Nan
Hey deedee,Seed,481800.0,Mumbai,Hey deedee is a mumbai-based company that provides solutions to parcel delivery problems.,Logistics,2018,,Nan
Digiconnectt technologys,Seed,125000.0,Bangalore,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,Technology,2018,,Nan
Locus.sh,Series A,4000000.0,Bangalore,Locus is an intelligent logistics automation platform.,Logistics,2018,,Nan
Sports flashes pvt. ltd,Seed,1000000.0,New delhi,"Sports flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",Sports,2018,,Nan
Inc42,Seed,0.0,New delhi,Inc42 is one of the leading tech media publications of india.,Digital media,2018,,Nan
Picxy,Seed,130000.0,Guntur,"A stock photo startup based in amravati, andhra pradesh.",Digital media,2018,,Nan
Huddle,Seed,300000.0,Haryana,A coworking incubator company.,Consultancy,2018,,Nan
Benepik,Seed,0.0,Gurgaon,Hr technology start-up.,Hr-tech,2018,,Nan
Cash suvidha,Seed,1000000.0,New delhi,Cash suvidha is an digital lending platform that provide working capital finance to smes and msmes in india.,Finance,2018,,Nan
